product_id,category,subcategory,brand,package_size,mrp,selling_price,margin_percentage,organic_flag,premium_flag,rating,popularity_index,festival_relevance
PROD00001,Personal Care,Face Wash,SpiceRoute,1kg,61,50.89,29.53,0,0,4.2,2.06,1.31
PROD00002,Snacks,Chips,NutriMile,250g,378,288.3,19.12,0,0,4.6,4.54,5.84
PROD00003,Dairy,Curd,QuickChef,250g,99,82.16,29.42,1,1,4.1,7.89,6.54
PROD00004,Beverages,Juice,DailyDrop,250g,403,336.28,29.05,0,0,3.4,7.42,2.09
PROD00005,Snacks,Protein Snacks,FreshNest,1kg,180,156.08,34.58,0,1,4.0,7.13,7.14
PROD00006,Snacks,Protein Snacks,FreshNest,1kg,249,212.71,30.48,0,1,4.6,5.16,5.47
PROD00007,Frozen Foods,Fries,FreshNest,500g,214,183.87,29.8,1,1,4.0,2.48,5.04
PROD00008,Snacks,Protein Snacks,FitBite,1kg,605,471.58,21.75,0,0,3.4,3.24,4.33
PROD00009,Snacks,Cookies,NutriMile,750ml,723,599.27,17.66,1,0,3.2,8.71,9.25
PROD00010,Instant Meals,Ready Meals,ChillSip,1L,547,527.08,11.25,0,1,3.9,1.87,3.86
PROD00011,Health & Wellness,Granola,FitBite,1L,398,346.99,15.0,0,1,3.7,2.09,5.31
PROD00012,Snacks,Cookies,ChillSip,750ml,91,82.39,7.27,1,0,3.5,9.36,9.58
PROD00013,Beverages,Soft Drink,PureHarvest,1kg,86,75.74,10.52,1,1,3.2,8.14,4.03
PROD00014,Snacks,Namkeen,UrbanCrunch,750ml,201,186.14,32.08,0,1,4.9,8.52,5.07
PROD00015,Dairy,Butter,HomeEase,750ml,594,492.76,23.28,0,1,3.6,1.56,7.12
PROD00016,Instant Meals,Noodles,PureHarvest,500g,639,587.88,25.9,1,0,4.4,8.15,1.69
PROD00017,Personal Care,Soap,ChillSip,500g,545,412.16,25.21,0,0,3.9,4.32,8.63
PROD00018,Instant Meals,Pasta,NutriMile,750ml,591,483.65,34.41,0,1,4.4,2.6,3.04
PROD00019,Beverages,Juice,PureHarvest,250g,384,327.5,25.76,0,0,3.6,6.94,7.68
PROD00020,Instant Meals,Pasta,NutriMile,1L,219,179.73,29.44,0,0,4.3,1.29,6.99
PROD00021,Frozen Foods,Fries,SpiceRoute,1kg,244,214.26,21.78,1,1,4.0,1.7,5.96
PROD00022,Health & Wellness,Oats,ChillSip,250g,712,663.75,31.63,0,1,4.6,7.18,6.1
PROD00023,Personal Care,Shampoo,FitBite,250g,246,209.32,22.14,1,1,3.7,5.54,8.57
PROD00024,Instant Meals,Ready Meals,ChillSip,1L,630,530.37,10.37,0,1,4.3,6.34,5.16
PROD00025,Personal Care,Soap,HomeEase,250g,468,396.77,12.01,0,1,4.1,8.79,2.82
PROD00026,Health & Wellness,Oats,SpiceRoute,1L,748,625.98,29.39,0,1,4.7,6.72,3.33
PROD00027,Beverages,Soft Drink,DailyDrop,250g,211,183.12,14.69,0,0,4.5,5.49,7.72
PROD00028,Personal Care,Face Wash,ChillSip,750ml,583,527.72,13.56,1,1,4.7,3.94,9.89
PROD00029,Beverages,Juice,ChillSip,1kg,90,67.81,10.55,1,0,5.0,9.25,2.56
PROD00030,Personal Care,Soap,DailyDrop,500g,455,398.0,31.15,0,0,3.1,3.84,6.44
PROD00031,Personal Care,Shampoo,UrbanCrunch,1L,717,554.04,6.8,0,1,3.7,6.71,9.02
